Entity,Biomodels qualifier,External resource,Term
model,is,modelID,
,isDescribedBy,https://identifiers.org/pubmed:30665012,Publication
,hasProperty,http://purl.obolibrary.org/obo/SO_0001877,Long non-coding RNA
,hasTaxon,https://identifiers.org/taxonomy/4577,Zea Mays
,hasProperty,http://edamontology.org/operation_2423,Prediction
,hasOutput,http://purl.obolibrary.org/obo/NCIT_C48691,coding
,hasOutput,http://edamontology.org/operation_0436,coding
,hasOutput,http://purl.obolibrary.org/obo/NCRO_0004004,non-coding
,hasProperty,http://semanticscience.org/resource/SIO_010073,Open reading frame
,hasProperty,http://purl.obolibrary.org/obo/NCIT_C176231,Machine learning